id,title,author,intro,tags,genre,series_count,view_count,recommend_count,link
26,선독점 회귀한 변경백 장남이 가문을 독식함,최은수,"혈통이 의심된다는 말에 자진해서 나왔지만
회귀한 이상 내 발로 나갈 일은 없다.","판타지,퓨전,마법,영지,중세,회귀,마법사","판타지, 퓨전",308 회,"603,633","11,507",https://novel.munpia.com/395811
27,선독점 어느 비룡 기수 이야기,세그폴,"일류 기수 고유진.
썩어 빠진 마사회에 들이받고 침몰하다.
그렇게 끝난 줄로만 알았는데.

""경룡? 비룡으로 경기를 한다고?""

여긴 다르다. 경기에만 신경 쓸 수 있어.
한때 몰락했던 기수는 전혀 다른 무대에서 낡은 정석의 파괴자, 새로운 개념의 창조자로 다시 태어난다.",,"판타지, 스포츠",260 회,"298,463","13,963",https://novel.munpia.com/398884
28,선독점 피지컬 괴물 수비수가 EX급 시야를 얻음,천달,내 눈엔 상대의 다음 플레이가 보인다.,"스포츠,사이다,초능력,축구,운동선수,먼치킨",스포츠,136 회,"902,792","18,223",https://novel.munpia.com/410402
29,선독점 부업으로 할리우드 스타합니다.,로그1,"악당과 마약이 난무하고 범죄율은 사상 최악을 찍은 1990년대 미국.

나는 그곳으로 돌아왔다.

베벌리힐스에서 살고 있는 동양인 아이는 언제나 건드리기 좋은 타깃.

하지만 이젠 과거처럼 당해 주지 않는다.

내겐 40대 중반까지 살아온 경험이 있고, 프로듀서라는 능력이 있다.

그러니 이제 내 꿈을 위해 달려 보려 한다.","현대판타지,대체역사,방송,연예계,회귀,작곡가,능력자","현대판타지, 대체역사",144 회,"1,157,980","33,861",https://novel.munpia.com/416287
30,선독점 강시등선,라그랑쥬,"혈교의 꼬임에 속아 강시 대법에 희생당했다.
불행 중 다행으로 생각없이 건낸 작은 선행이 영혼을 살렸고,
강시로 변한 몸은 그야말로 무공으로 익히기 가장 좋은 천무지체.

생과사의 경계면에서 만난 귀한 인연들과 신공들의 도움으로
죽어버린 육신을 다시 되살리며 신선의 길로 나아가는 여정.","무협,격투,복수,생존,무인,능력자",무협,99 회,"299,148","7,325",https://novel.munpia.com/426191
31,선독점 검은머리 소련 빨갱이,다우라니,"성공을 위해 빨갱이가 되었지만.
너도나도 거지가 되는 공산주의는 싫다!

생산수단의 공유화? 집단농장 도입?
그거 망국의 지름길이라고!

자본가에겐 누진세로 세금폭탄을 던지고.
노동자의 권익을 보호하여 지속가능한 노동 환경을 조성하며.
공공사업을 벌여 부족한 일자리 문제를 해결하자.

응? 너무 당연한 소리 아니냐고?
1910년대에 이 정도면 빨갱이 소리 듣고도 남아!

최운학의 본격 자본주의 소련 건설기!","대체역사,전쟁_밀리터리,경영,전생,전쟁,정치,군인,검은머리,독립군,세계사","대체역사, 전쟁·밀리터리",66 회,"158,874","4,439",https://novel.munpia.com/432024
32,선독점 종말 세계 농부가 되었다,유선비,"종말 이후 식량이 귀해진 세계.
나는 특별한 농부가 되었다.","현대판타지,게임시스템,농사,영지,힐링,헌터","현대판타지, 퓨전",73 회,"368,383","9,786",https://novel.munpia.com/430148
33,선독점 해를 세다,황금하르방,"불의의 사고를 겪은 소년
불우한 운명에 갇힌 소년
그러나 그들의 시간은 흐른다.
그리고 앞으로 나아간다.
미래는 자신의 손으로 개척해 나가는 것이니까.","현대판타지,퓨전,드라마,연예계,힐링","판타지, 현대판타지",287 회,"821,668","34,094",https://novel.munpia.com/391759
34,선독점 칭찬스티커 받는 단종,문환,"[세종 이도가 칭찬스티커를 선물합니다.]
[문종 이향이 칭찬스티커를 선물합니다.]
[수양대군 이유가 칭찬스티커를 선물합니다.]
…….
[칭찬스티커북을 완성했습니다. 원하는 선물을 말씀해주세요.]
[추상적인 선물은 받을 수 없습니다. ex) 동생 만들어주세요.]
[한 손으로 들 수 없는 선물은 받을 수 없습니다. ex) 핵무기]

""영조표 게장?""","대체역사,시스템,육성,육아,환생,힐링,군주,구원,상태창,조선","대체역사, 드라마",271 회,"1,480,847","75,129",https://novel.munpia.com/386129
35,선독점 파리를 잡았더니 초월급 헌터가 되었다,소백린,"짝!
방 안을 쏘다니는 파리를 한 마리 잡았을 뿐이다.

[신화급 업적 달성! 대마왕 토벌]
[칭호 획득! 대용사]
[□□급 업적 달성! 세계를 구하다]
[칭호 획득! 세계의 구원자]
[보상이 주어집니다.]

그랬더니 초월급 헌터가 되었다.","게이트,던전,헌터,곤충,마왕,먼치킨,악마,용사,각성,나혼자","현대판타지, 판타지",294 회,"1,382,690","28,922",https://novel.munpia.com/389526
36,선독점 귀환했는데 회귀했다,소드브레인,귀환했는데 회귀했다.,"현대판타지,귀환,회귀","판타지, 현대판타지",74 회,"552,381","9,806",https://novel.munpia.com/413347
37,선독점 리부트 : 형이 힘을 숨김,용용드래곤,"회귀한 S급 연금술사는 동생과 힐링 라이프
내가 만든 약은 올리기만 하면 다 팔린다
그런데 아무도 내가 만든 걸 몰라....","현대판타지,게이트,시스템,육아,회귀,힐링,가수,배우,나노머신,나혼자","현대판타지, 퓨전",280 회,"1,069,140","30,409",https://novel.munpia.com/390958
38,선독점 윤회무사,서마,"천년제일검사는 전우의 후손으로 환생했다. 황제의 아들로. 그러나, 고통을 너무도 선명하게 기억하는 사람은 새로운 삶을 바라지 않는 법이었다.","무협,드라마,환생,무인",무협,72 회,"1,570,458","60,500",https://novel.munpia.com/424251
39,선독점 빌런 독재자 플레이어의 세계 정상화,한혜주,"정신병자 빌런 플레이어들이 세상을 멸망시켰다.
다시 기회를 얻었으니, 이번에는 모든 것을 지배하고 통제하겠다.
그리하여 마침내, 망겜이 되어버린 세상을 정상화하리라.","현대판타지,게임시스템,경영,레이드,사이다,정치,회귀,먼치킨,빌런,성기사","현대판타지, 퓨전",102 회,"366,890","15,095",https://novel.munpia.com/428514
40,선독점 탑스타의 남동생이 되었다,운좋은놈,최애의 남동생으로 환생했다.,"현대판타지,연예계,음악,착각,힐링","현대판타지, 퓨전",172 회,"1,856,789","49,886",https://novel.munpia.com/408148
41,선독점 아포칼립스라서 계속 강해짐,갈겔골,"난 이길수록 강해질 수 있다. 좀비를 이겨도, 외계에서 온 로봇을 이겨도 거기에 원시지구의 괴물 식물을 이겨도 강해질 수가 있다. 또한 외계인 우주선을 부숴도 강해질 수 있다.","현대판타지,SF,격투,좀비,생존,아포칼립스,먼치킨,외계인,포스트아포칼립스","현대판타지, 퓨전",177 회,"342,636","8,477",https://novel.munpia.com/425728
42,선독점 신의 실수로 축구 천재,난길.,"고아로 자라 불행하게만 살다 요즘 소설에도 안 나올 클리셰로 죽었다.
그리고 죽기 전의 불행한 삶이 신의 실수라고 한다.
""그래서 다시 살려주려고.""
그런데 신이라는 이 작자... 또 실수했다.
“아~ 또 실수했다! 감각이랑 체력을 한 스푼만 넣는다는 게. 두 번이나 넣었네?""","현대판타지,스포츠,천재,축구,회귀,운동선수,노력가,신,대한민국","스포츠, 현대판타지",112 회,"933,685","18,319",https://novel.munpia.com/422535
43,선독점 운석 소환은 신중해야 합니다,현연,"쏘면, 다 뒈져요.","현대판타지,시스템,이능력,먼치킨,각성",현대판타지,143 회,"1,769,702","35,680",https://novel.munpia.com/423012
44,선독점 마법을 해킹하는 용병입니다만 [율파카 작가-판타지 소설],율파카,"태호는 딱 60살 까지만 살기로 했다.
결심하고 나니 사는 것이 너무 심플해졌다.
자연스레 세 가지 소원이 생겼다.

하나는 로또 일등.
다른 하나는 죽을 때 실패하지 않고 한 번에, 최대한 고통 없이 가는 것.
마지막 하나는 즐겨 읽는 웹소설처럼 차원 이동이나 엄청난 능력이 생기는 비일상.

태호의 마흔 살 생일, 그러니까 육십까지 이십 년이 남았을 때, 말도 안되는 일이 벌어졌다.

“와, 미친! 대바아아아악!”

그런데 이 소원, 세 가지가 한 번에 이루어졌다?

엇? 이게 아닌데?","퓨전,던전,차원이동,환생,먼치킨,몬스터,전설","퓨전, 판타지",152 회,"41,109",798,https://novel.munpia.com/426722
45,선독점 너의 시험문제가 보여,송장벌레,"인간은 살면서 수많은 시험들을 보게 된다.

중간고사/기말고사/수능/공무원 시험/자격증 시험/그 외 각종 쪽지시험들.......

그리고 나는 미래의 모든 시험문제들을 미리 볼 수 있게 되었다.","현대판타지,사이다,천재,이능력,인공지능,선생님,능력자,먼치킨","현대판타지, 판타지",53 회,"91,148","1,826",https://novel.munpia.com/434377
46,선독점 묘(猫)한 만능 대여점,키바니,"묘한 아이가 나타났다.
그리고 묘한 가게를 발견했다.
그 곳에서 묘한 능력을 얻었다.
그렇게 묘한 운명을 맞이하게 되었다.","판타지,현대판타지,퓨전,동양판타지","현대판타지, 판타지",126 회,"7,654",165,https://novel.munpia.com/434822
47,선독점 귀환한 헌터는 잘 살아보려합니다.,정원정,귀환한 헌터는 잘 살아보려합니다.,,"판타지, 현대판타지",593 회,"247,487","2,783",https://novel.munpia.com/329157
48,선독점 퇴원했더니 인생이 달라졌다,정원정,퇴원했더니 인생이 달라졌다,"현대판타지,사이다,나혼자","현대판타지, 퓨전",591 회,"368,341","5,463",https://novel.munpia.com/329426
49,선독점 양치기 마법사,수박복숭아,"양치기 소년 투란에게는 아무도 모르는 비밀이 하나 있다.
바로 그가 신의 후예, 마법사라는 사실이다.","판타지,퓨전,마법,천재,중세,마법사","판타지, 퓨전",83 회,"3,332,513","140,803",https://novel.munpia.com/429248
50,선독점 전직 용병의 슬기로운 빙의 생활,화가많은,"임무에서 죽은 내가 다시 깨어난 곳은 희미한 기억만이 남아 있는 한국이라는 나라였다.

‘근데….’

뭐야? 이 핏덩이는?","판타지,현대판타지,빙의,사이다,생존,서바이벌,전쟁,용병","현대판타지, 판타지",85 회,"644,396","14,883",https://novel.munpia.com/426232
51,선독점 수비 천재가 타격의 신이 됨,리비에르,"나는 최고의 수비력을 가지고 있었지만 타격 실력은 누구보다 처참했다.
하지만 그런 나에게 타격의 신이 될 기회가 생겼다.","스포츠,회귀,야구","스포츠, 현대판타지",210 회,"620,926","11,651",https://novel.munpia.com/392986
52,선독점 망겜의 스킬 줍는 방랑기사,비정현파,"게임 속 세상에서 용병으로 구른 지 3년.
-흡수하시겠습니까?
잠겨 있던 특전이 활성화되었다.","판타지,중세,기사","판타지, 퓨전",98 회,"1,677,652","48,106",https://novel.munpia.com/427614
